
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06647502379617591
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.2	 Result= 0.08092692896150339
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.25	 Result= 0.20110491268161773
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06190131148737648
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06493118261524673
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.2	 Result= 0.0576384205367418
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =False	 Dropout rate= 0.25	 Result= 0.059067720859155605
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06494842836077602
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06719848815945612
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.2	 Result= 0.070883233288209
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07559222109552505
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06722281072595934
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06809893906905852
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05920958561335934
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06125310254467094
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06637400043741994
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.15	 Result= 0.07243892733102616
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.2	 Result= 0.07552352707194483
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.25	 Result= 0.0887429517512766
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.1	 Result= 0.0646893781810433
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.15	 Result= 0.062317280752257606
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06369883642028804
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06279036900338562
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.1	 Result= 0.07399188905864999
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.15	 Result= 0.1421705433602693
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.2	 Result= 0.2111293615429834
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.25	 Result= 0.2448403034461611
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06470221739964209
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06410299655494989
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06220086821276268
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06258605947826934
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.1	 Result= 0.27774148418389816
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.15	 Result= 0.2700831432571297
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.2	 Result= 0.28770403003227946
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.25	 Result= 0.2918087372417631
 Activation Function= sigmoid	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.1	 Result= 0.08669313498731257
